objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,version_publishers,version_languages,version_yearpublished,version_nickname
Star Wars: Armada – CR90 Corellian Corvette Expansion Pack,168928,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,39164602,5.72046,7.84451,3,0,1915,thing,Star Wars: Armada – CR90 Corellian Corvette Expansion Pack,2,2,120,120,120,2015,2,2,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,expansion,,,,,
Star Wars: Armada – Gladiator-class Star Destroyer Expansion Pack,169018,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,39164498,5.78078,7.96117,2.8571,0,2134,thing,Star Wars: Armada – Gladiator-class Star Destroyer Expansion Pack,2,2,120,120,120,2015,2,2,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,expansion,,,,,
Star Wars: Armada – Home One Expansion Pack,175284,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,39164567,5.7561,8.13457,2.75,0,2019,thing,Star Wars: Armada – Home One Expansion Pack,2,2,120,120,120,2015,2,2,10+,Some necessary text - easily memorized or small crib sheet,,,,,,expansion,,,,,
Star Wars: Armada – Imperial Assault Carriers Expansion Pack,198786,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,39164513,5.64752,7.96108,4,0,1287,thing,Star Wars: Armada – Imperial Assault Carriers Expansion Pack,2,2,120,120,120,2016,,,12+,,,,,,,expansion,,,,,
Star Wars: Armada – Imperial Class Star Destroyer Expansion Pack,175283,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,39164587,5.79665,8.33686,2.8333,0,1991,thing,Star Wars: Armada – Imperial Class Star Destroyer Expansion Pack,2,2,120,120,120,2015,2,2,10+,Some necessary text - easily memorized or small crib sheet,,,,,,expansion,,,,,
Star Wars: Armada – Imperial Fighter Squadrons Expansion Pack,169020,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,39063244,5.79174,7.99412,2.875,0,2357,thing,Star Wars: Armada – Imperial Fighter Squadrons Expansion Pack,2,2,120,120,120,2015,2,2,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,expansion,,,,,
Star Wars: Armada – Imperial Fighter Squadrons II Expansion Pack,212351,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,39257056,5.6366,8.17036,4,0,1181,thing,Star Wars: Armada – Imperial Fighter Squadrons II Expansion Pack,2,2,120,120,120,2016,,,14,,,,,,,expansion,,,,,
Star Wars: Armada – Imperial Light Cruiser Expansion Pack,212318,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,39257065,5.61615,8.0344,4,0,1060,thing,Star Wars: Armada – Imperial Light Cruiser Expansion Pack,2,2,120,120,120,2016,,,,,,,,,,expansion,,,,,
Star Wars: Armada – Imperial Raider Expansion Pack,175286,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,39164522,5.68379,7.73417,2.6,0,1705,thing,Star Wars: Armada – Imperial Raider Expansion Pack,2,2,120,120,120,2015,2,2,10+,Some necessary text - easily memorized or small crib sheet,,,,,,expansion,,,,,
Star Wars: Armada – Interdictor Expansion Pack,201038,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,39063027,5.66363,8.16115,4,0,1370,thing,Star Wars: Armada – Interdictor Expansion Pack,2,2,120,120,120,2016,,,,,,,,,,expansion,,,,,
Star Wars: Armada – Liberty Expansion Pack,201039,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,39063029,5.66847,8.20353,4,0,1278,thing,Star Wars: Armada – Liberty Expansion Pack,2,2,120,120,120,2016,,,,,,,,,,expansion,,,,,
Star Wars: Armada – MC30c Frigate Expansion Pack,175287,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,39164576,5.70893,8.04269,2.8,0,1752,thing,Star Wars: Armada – MC30c Frigate Expansion Pack,2,2,120,120,120,2015,2,2,10+,Some necessary text - easily memorized or small crib sheet,,,,,,expansion,,,,,
Star Wars: Armada – Nebulon-B Frigate Expansion Pack,168929,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,39063252,5.70062,7.71502,3,0,1857,thing,Star Wars: Armada – Nebulon-B Frigate Expansion Pack,2,2,120,120,120,2015,2,2,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,expansion,,,,,
Star Wars: Armada – Nebulon-B Frigate Expansion Pack,168929,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,39164534,5.70062,7.71502,3,0,1857,thing,Star Wars: Armada – Nebulon-B Frigate Expansion Pack,2,2,120,120,120,2015,2,2,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,expansion,,,,,
Star Wars: Armada – Phoenix Home Expansion Pack,212317,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,39257080,5.61051,7.95214,4,0,1029,thing,Star Wars: Armada – Phoenix Home Expansion Pack,2,2,120,120,120,2016,,,,,,,,,,expansion,,,,,
Star Wars: Armada – Rebel Fighter Squadrons Expansion Pack,169019,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,39063260,5.80314,8.02723,2.875,0,2372,thing,Star Wars: Armada – Rebel Fighter Squadrons Expansion Pack,2,2,120,120,120,2015,2,2,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,expansion,,,,,
Star Wars: Armada – Rebel Fighter Squadrons II Expansion Pack,212350,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,39257098,5.60901,8.0453,3.5,0,1127,thing,Star Wars: Armada – Rebel Fighter Squadrons II Expansion Pack,2,2,120,120,120,2016,2,2,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,expansion,,,,,
Star Wars: Armada – Rebellion in the Rim,282070,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,124264694,5.57467,8.04878,3.5,0,756,thing,Star Wars: Armada – Rebellion in the Rim,2,6,120,120,120,2019,"2,4,6",4,,,,,,,,expansion,,,,,
Star Wars: Armada – Rogues and Villains Expansion Pack,175285,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,39164419,5.78066,8.01815,3.2,0,2251,thing,Star Wars: Armada – Rogues and Villains Expansion Pack,2,2,120,120,120,2015,2,2,10+,Some necessary text - easily memorized or small crib sheet,,,,,,expansion,,,,,
Star Wars: Armada – Rogues and Villains Expansion Pack,175285,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,39164428,5.78066,8.01815,3.2,0,2251,thing,Star Wars: Armada – Rogues and Villains Expansion Pack,2,2,120,120,120,2015,2,2,10+,Some necessary text - easily memorized or small crib sheet,,,,,,expansion,,,,,
Star Wars: Armada – The Corellian Conflict,204853,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,39257045,5.63397,7.60872,4,0,1334,thing,Star Wars: Armada – The Corellian Conflict,2,6,120,0,120,2016,,,,,,,,,,expansion,,,,,
Star Wars: Armada – Victory-class Star Destroyer Expansion Pack,168927,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,39063018,5.71817,7.85726,3,0,1862,thing,Star Wars: Armada – Victory-class Star Destroyer Expansion Pack,2,2,120,120,120,2015,2,2,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,expansion,,,,,
Star Wars: Armada – Victory-class Star Destroyer Expansion Pack,168927,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,39164556,5.71817,7.85726,3,0,1862,thing,Star Wars: Armada – Victory-class Star Destroyer Expansion Pack,2,2,120,120,120,2015,2,2,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,expansion,,,,,
Star Wars: Destiny – Two-Player Game,234931,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,113954969,5.98481,7.02062,2.3333,3087,3927,thing,Star Wars: Destiny – Two-Player Game,2,2,30,30,30,2017,2,2,8+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,
Star Wars: Imperial Assault,164153,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,33413997,7.66358,7.95944,3.3032,75,43492,thing,Star Wars: Imperial Assault,2,5,120,120,60,2014,"2,3,4,5","2,5",12+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,
Star Wars: Imperial Assault – Alliance Smuggler Ally Pack,180621,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,33414085,5.80469,7.78245,2.25,0,4216,thing,Star Wars: Imperial Assault – Alliance Smuggler Ally Pack,2,5,0,0,0,2015,,,,,,,,,,expansion,,,,,
Star Wars: Imperial Assault – Chewbacca Ally Pack,167886,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,33414088,6.1938,8.02294,2.6667,0,8129,thing,Star Wars: Imperial Assault – Chewbacca Ally Pack,2,5,60,60,60,2015,"2,3,4,5","2,5",,Moderate in-game text - needs crib sheet or paste ups,,,,,,expansion,,,,,
Star Wars: Imperial Assault – Dengar Villain Pack,181688,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,33414084,5.84633,7.80527,2.2,0,4590,thing,Star Wars: Imperial Assault – Dengar Villain Pack,2,5,120,120,90,2015,,,,Moderate in-game text - needs crib sheet or paste ups,,,,,,expansion,,,,,
Star Wars: Imperial Assault – Echo Base Troopers Ally Pack,181690,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,33414078,5.82973,7.87392,1.8,0,4376,thing,Star Wars: Imperial Assault – Echo Base Troopers Ally Pack,2,5,120,120,90,2015,,,,Moderate in-game text - needs crib sheet or paste ups,,,,,,expansion,,,,,
Star Wars: Imperial Assault – General Sorin Villain Pack,181629,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,33414090,5.81198,7.79499,2.2,0,4426,thing,Star Wars: Imperial Assault – General Sorin Villain Pack,2,5,120,120,90,2015,,,,Moderate in-game text - needs crib sheet or paste ups,,,,,,expansion,,,,,
Star Wars: Imperial Assault – Heart of the Empire,226839,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,121537565,6.13807,8.49045,3.1667,0,6483,thing,Star Wars: Imperial Assault – Heart of the Empire,2,5,90,90,60,2017,"1,2,3,4,5","2,5",,Extensive use of text - massive conversion needed to be playable,,,,,,expansion,,,,,
Star Wars: Imperial Assault – Hired Guns Villain Pack,177087,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,33414074,5.86593,7.83301,2.5,0,4823,thing,Star Wars: Imperial Assault – Hired Guns Villain Pack,2,5,120,120,60,2015,,,,Moderate in-game text - needs crib sheet or paste ups,,,,,,expansion,,,,,
Star Wars: Imperial Assault – IG-88 Villain Pack,167885,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,33414041,6.11342,7.92174,2.875,0,6923,thing,Star Wars: Imperial Assault – IG-88 Villain Pack,2,5,60,60,60,2015,"2,3,4,5","2,5",,,,,,,,expansion,,,,,
Star Wars: Imperial Assault – Kayn Somos Villain Pack,175214,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,33414077,5.89967,7.79942,2.8889,0,5144,thing,Star Wars: Imperial Assault – Kayn Somos Villain Pack,2,5,90,90,90,2015,,,,Moderate in-game text - needs crib sheet or paste ups,,,,,,expansion,,,,,
Star Wars: Imperial Assault – Rebel Saboteurs Ally Pack,167888,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,33414031,6.02187,7.87476,2.8571,0,6167,thing,Star Wars: Imperial Assault – Rebel Saboteurs Ally Pack,2,5,60,60,60,2015,"2,3,5","2,5",,Moderate in-game text - needs crib sheet or paste ups,,,,,,expansion,,,,,
Star Wars: Imperial Assault – Rebel Troopers Ally Pack,167887,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,33414086,6.01629,7.82023,2.9167,0,6332,thing,Star Wars: Imperial Assault – Rebel Troopers Ally Pack,2,5,60,60,60,2015,"2,3,4,5","2,5",,Moderate in-game text - needs crib sheet or paste ups,,,,,,expansion,,,,,
Star Wars: Imperial Assault – Return to Hoth,181621,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,33414014,6.60813,8.40665,3.0588,0,10722,thing,Star Wars: Imperial Assault – Return to Hoth,2,5,120,120,90,2015,"2,3,4,5",5,,,,,,,,expansion,,,,,
Star Wars: Imperial Assault – Stormtroopers Villain Pack,177088,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,33414071,5.84088,7.76098,2.4,0,4612,thing,Star Wars: Imperial Assault – Stormtroopers Villain Pack,2,5,120,120,60,2015,,,,Moderate in-game text - needs crib sheet or paste ups,,,,,,expansion,,,,,
Star Wars: Imperial Assault – Twin Shadows,175211,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,33414018,6.55393,8.19531,3.2857,0,11203,thing,Star Wars: Imperial Assault – Twin Shadows,2,5,120,120,60,2015,"2,3,5",5,10+,Extensive use of text - massive conversion needed to be playable,,,,,,expansion,,,,,
Star Wars: Imperial Assault – Wookiee Warriors Ally Pack,177086,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,33414054,5.8773,7.94897,2.4,0,4802,thing,Star Wars: Imperial Assault – Wookiee Warriors Ally Pack,2,5,120,120,60,2015,,,,Moderate in-game text - needs crib sheet or paste ups,,,,,,expansion,,,,,
Star Wars: Jabba's Palace – A Love Letter Game,353470,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,115921667,6.47405,7.22149,1.2075,1295,7928,thing,Star Wars: Jabba's Palace – A Love Letter Game,2,6,20,20,20,2022,"3,4,5,6","4,5",8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Star Wars: Rebellion,187645,0,0,0,1,0,0,0,0,0,0,0,2,,,,,,101467437,8.16873,8.41721,3.7414,9,53258,thing,Star Wars: Rebellion,2,4,240,240,180,2016,2,2,12+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,
Star Wars: Rebellion – Rise of the Empire,226840,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,129178638,7.7389,8.85539,3.7,0,18859,thing,Star Wars: Rebellion – Rise of the Empire,2,4,240,240,180,2017,2,2,12+,Extensive use of text - massive conversion needed to be playable,,,,,,expansion,,,,,
Star Wars: Shatterpoint,374562,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,115933854,5.83112,8.03783,3.3125,4201,1352,thing,Star Wars: Shatterpoint,2,2,120,120,90,2023,2,2,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Star Wars: The Card Game – The Battle of Hoth,139591,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,114582360,5.69617,7.82396,3.1111,0,1924,thing,Star Wars: The Card Game – The Battle of Hoth,2,2,60,60,60,2013,2,2,10+,Extensive use of text - massive conversion needed to be playable,,,,,,expansion,,,,,
Star Wars: The Clone Wars,370913,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,98962553,6.78631,7.57339,2.1441,739,10890,thing,Star Wars: The Clone Wars,1,5,60,60,60,2022,"1,2,3,4","2,3",10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Star Wars: The Deckbuilding Game,374173,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,107524863,7.30501,7.86261,2.0199,227,18673,thing,Star Wars: The Deckbuilding Game,2,2,30,30,30,2023,2,2,10+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,
Star Wars: Unlimited – Spark of Rebellion,419397,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,121017691,5.73129,8.21494,2.25,0,1099,thing,Star Wars: Unlimited – Spark of Rebellion,2,4,20,20,20,2024,"2,4",2,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,expansion,,,,,
Star Wars: X-Wing Miniatures Game – The Force Awakens Core Set,183562,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,34552188,6.77361,7.72472,2.8448,755,8285,thing,Star Wars: X-Wing Miniatures Game – The Force Awakens Core Set,2,2,45,45,30,2015,2,2,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Star Wars: X-Wing Miniatures Game – TIE Advanced Expansion Pack,123764,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,34552193,6.53767,7.77189,2.2911,0,9277,thing,Star Wars: X-Wing Miniatures Game – TIE Advanced Expansion Pack,2,2,20,20,20,2012,2,2,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,expansion,,,,,
Star Wars: X-Wing Miniatures Game – Y-Wing Expansion Pack,123763,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,34552196,6.48379,7.733,2.3333,0,8744,thing,Star Wars: X-Wing Miniatures Game – Y-Wing Expansion Pack,2,2,20,20,20,2012,2,2,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,expansion,,,,,
Starcadia Quest,257193,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,119983941,6.0405,7.35327,2.6667,2797,3366,thing,Starcadia Quest,2,4,60,60,60,2020,"2,3,4",4,8+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Starcadia Quest: Build-a-Robot,260251,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,122321620,5.56175,7.56835,2,0,1318,thing,Starcadia Quest: Build-a-Robot,2,4,60,60,60,2020,"3,4",4,14+,,,,,,,expansion,,,,,
Stardew Valley: The Board Game,332290,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,117614180,6.59938,7.41644,2.7165,1045,10172,thing,Stardew Valley: The Board Game,1,4,200,200,45,2021,"1,2,3",2,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Starship Merchants,114912,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,120550919,5.69058,6.45518,2.7021,6102,790,thing,Starship Merchants,2,4,90,90,90,2012,"2,3,4","3,4",12+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Steal the Bacon,348498,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,118867093,5.50165,5.57692,1,22993,272,thing,Steal the Bacon,3,8,10,10,10,2021,"3,4,5,6",4,6+,,,,,,,standalone,,,,,
Steam,27833,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,113954840,7.18071,7.54688,3.4553,305,11318,thing,Steam,3,5,90,90,90,2009,"3,4,5",4,12+,No necessary in-game text,,,,,,standalone,,,,,
Steam Up: A Feast of Dim Sum,307561,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,114123487,5.92016,6.68059,1.6098,3517,3868,thing,Steam Up: A Feast of Dim Sum,2,5,60,60,40,2023,"3,4,5",4,8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Steam Works,143176,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,46705038,5.95609,6.78411,3.1587,3265,2557,thing,Steam Works,2,5,120,120,90,2015,"2,3,4",3,10+,No necessary in-game text,,,,,,standalone,,,,,
Steam: Map Expansion #1,93544,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,126106083,5.78914,7.75428,3.7143,0,1533,thing,Steam: Map Expansion #1,2,6,240,240,120,2011,"2,3,4,5,6","3,4,5",14+,No necessary in-game text,,,,,,expansion,,,,,
Steam: Map Expansion #2,109144,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,113954833,5.68366,7.94017,3.6667,0,1403,thing,Steam: Map Expansion #2,2,4,60,60,60,2011,"2,3,4","2,3,4",,No necessary in-game text,,,,,,expansion,,,,,
Steam: Map Expansion #3,137906,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,126106085,5.60463,7.60168,3.8182,0,1012,thing,Steam: Map Expansion #3,2,6,60,60,60,2013,"2,3,4,5,6","2,3,4,5",12+,No necessary in-game text,,,,,,expansion,,,,,
Steam: Map Expansion #4,152166,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,126106096,5.57227,7.78333,4,0,784,thing,Steam: Map Expansion #4,2,6,120,120,60,2014,"2,3,4,5,6","3,4,6",10+,No necessary in-game text,,,,,,expansion,,,,,
Steam: Map Expansion #5,173650,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,126106093,5.57391,8.06716,4,0,682,thing,Steam: Map Expansion #5,2,6,0,0,0,2016,"3,4,5,6",3,,,,,,,,expansion,,,,,
SteamRollers,182704,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,119772141,5.95366,6.52658,2.1429,3279,2618,thing,SteamRollers,1,5,45,45,30,2015,"1,2,3,4,5",3,10+,No necessary in-game text,,,,,,standalone,,,,,
Stella: Dixit Universe,329845,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,115926401,6.64381,7.30323,1.1279,976,7871,thing,Stella: Dixit Universe,3,6,30,30,30,2021,"3,4,5,6","5,6",6+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Stick 'Em,354,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,98962565,6.48423,7.04545,1.9031,1276,5568,thing,Stick 'Em,3,8,60,60,30,1993,"3,4,5,6",4,10+,No necessary in-game text,,,,,,standalone,,,,,
Stinker,145609,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,115932647,5.58688,6.9134,1.3333,9507,321,thing,Stinker,3,6,15,15,15,2015,"2,3,4,5,6","2,4,5,6",12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Stockpile: Illicit Investments,269167,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,120198874,5.65994,7.51131,2,0,1473,thing,Stockpile: Illicit Investments,2,5,60,60,45,2019,"1,2,3,4,5","1,2,3,4,5",10+,Some necessary text - easily memorized or small crib sheet,,,,,,expansion,,,,,
Stone Age: Anniversary,260678,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,59753661,6.69969,7.95967,2.3056,0,5057,thing,Stone Age: Anniversary,2,4,90,90,60,2018,"2,3,4",4,8+,No necessary in-game text,,,,,,standalone,,,,,
Stop Thief!,215312,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,117614627,6.16102,6.96394,1.5,2240,4035,thing,Stop Thief!,1,5,60,60,30,2017,"2,3,4",3,8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Storm Over Dien Bien Phu,58624,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,117615998,5.68915,7.61083,2.5769,6129,679,thing,Storm Over Dien Bien Phu,1,2,180,180,180,2014,"1,2",2,12+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,
La Strada,9675,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,23692403,5.76557,6.17832,1.8364,4925,1802,thing,La Strada,2,4,30,30,30,2004,"3,4",4,8+,No necessary in-game text,,,,,,standalone,,,,,
Strada Romana,38858,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,122170308,5.59107,6.14823,2.1053,9256,622,thing,Strada Romana,2,5,45,45,45,2009,"3,4,5",4,8+,No necessary in-game text,,,,,,standalone,,,,,
Straw,22497,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,28761932,5.727,6.22402,1.0395,5466,1492,thing,Straw,2,6,30,30,30,2006,"2,3,4,5,6",5,6+,No necessary in-game text,,,,,,standalone,,,,,
Strawberry Ninja,221643,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,120551378,5.50453,5.57325,1.4,22301,707,thing,Strawberry Ninja,1,4,30,30,15,2017,"1,2",1,6–10,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Street Illegal,3921,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,28691753,5.52272,5.65794,1.8154,17202,932,thing,Street Illegal,1,7,45,45,45,2002,"1,3,4,5,6","4,5",10+,No necessary in-game text,,,,,,standalone,,,,,
Stronghold,45986,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,15450818,6.48718,7.1213,3.6721,1270,5189,thing,Stronghold,2,4,120,120,120,2009,"2,3,4",2,14+,No necessary in-game text,,,,,,standalone,,,,,
Stronghold: Heroes,85945,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,33366513,5.564,6.85135,3.25,0,879,thing,Stronghold: Heroes,2,4,120,120,120,2010,,,16+,No necessary in-game text,,,,,,expansion,,,,,
Stronghold: Undead (Second Edition),333144,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,117989937,5.59983,7.08899,3.4,8793,709,thing,Stronghold: Undead (Second Edition),2,2,90,90,90,2021,2,2,,,,,,,,standalone,,,,,
Struggle of Empires,9625,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,22668357,6.82806,7.53476,3.5909,690,5914,thing,Struggle of Empires,2,7,240,240,180,2004,"4,5,6,7","5,6,7",14+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Student Bodies,132799,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,120551354,5.56661,6.36677,2.6154,10864,778,thing,Student Bodies,2,5,90,90,90,2014,"2,3,4",4,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Studies in Sorcery,286790,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,129178773,5.61893,7.11846,2.25,7973,639,thing,Studies in Sorcery,1,4,60,60,30,2021,"1,2,3",2,,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Studies in Sorcery: Divination,336388,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,129178775,5.52669,7.54194,0,0,332,thing,Studies in Sorcery: Divination,1,4,60,60,30,2021,,,,,,,,,,expansion,,,,,
A Study in Emerald (Second Edition),178054,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,33414169,6.26373,6.88324,2.9389,1863,4636,thing,A Study in Emerald (Second Edition),2,5,60,60,60,2015,"3,4,5","4,5",12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
"Stuffed Fables: Oh, Brother!",326199,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,114762306,5.73202,7.86682,2.5714,0,2776,thing,"Stuffed Fables: Oh, Brother!",2,4,90,90,60,2021,"1,2,3,4","2,4",6+,Extensive use of text - massive conversion needed to be playable,,,,,,expansion,,,,,
Subdivision,155173,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,84480191,5.86422,6.42672,2.3256,3925,2973,thing,Subdivision,1,4,45,45,45,2014,"1,2,3,4","1,2",10+,No necessary in-game text,,,,,,standalone,,,,,
Suburbia Inc,145196,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,100217822,6.87968,7.92829,2.7634,0,7737,thing,Suburbia Inc,1,4,90,90,90,2013,"1,2,3,4",3,8+,Moderate in-game text - needs crib sheet or paste ups,,,,,,expansion,,,,,
Suburbia: Collector's Edition,267367,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,104502929,6.99204,7.99903,2.8182,0,8168,thing,Suburbia: Collector's Edition,1,5,90,90,90,2019,"1,2,3,4",3,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Succession!,184439,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,35149602,0,6.30458,1,0,48,thing,Succession!,2,6,10,10,5,2016,"2,3,4,5,6","3,4",,,,,,,,standalone,,,,,
Successors (Fourth Edition),325348,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,114762270,6.13093,8.02934,4.0962,2377,2471,thing,Successors (Fourth Edition),2,5,300,300,300,2021,"2,3,4,5","4,5",16+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,
Sugar Blast,261449,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,120552081,5.50964,5.7233,1.2,20848,244,thing,Sugar Blast,1,4,20,20,20,2020,"2,3,4",3,6–12,,,,,,,standalone,,,,,
Sumatra,313000,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,124535757,5.64761,6.6689,1.9091,7077,647,thing,Sumatra,2,5,45,45,45,2020,"2,3,4","3,4",8+,No necessary in-game text,,,,,,standalone,,,,,
