objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Rattlebones","150146","5.5","0","0","1","0","0","0","0","0","0","0","3","","","","","","29562414","5.83149","6.48642","1.5789","4200","1855","thing","Rattlebones","2","4","30","30","15","2014","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Rio Grande Games","English","2014","English first edition"
"Reef","244228","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","56358490","6.71714","7.01051","1.8138","850","14689","thing","Reef","2","4","45","45","30","2018","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Next Move Games","English","2018","English first edition"
"Res Publica","277","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","34255837","5.62023","5.90495","1.7093","7926","1968","thing","Res Publica","3","5","60","60","30","2011","3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Queen Games","Dutch; English; French; German","2011","Queen multilingual edition 2011"
"The Resistance: Avalon","128882","0","0","1","1","0","0","0","0","0","0","0","3","","","","","","28632383","7.31846","7.50546","1.7411","219","50912","thing","The Resistance: Avalon","5","10","30","30","30","2012","5,6,7,8,9,10","7,8","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Indie Boards & Cards","English","2012","English edition"
"Rise of Augustus","137297","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","26405013","6.46518","6.72783","1.6376","1325","10387","thing","Rise of Augustus","2","6","30","30","30","2013","2,3,4,5,6","3,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Hurrican","English; French","2013","English/French second edition"
"The River","257759","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","56358538","6.06472","6.59394","1.9667","2670","4447","thing","The River","2","4","45","45","30","2018","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Days of Wonder","English","2018","English edition"
"Robinson Crusoe: Adventures on the Cursed Island","121921","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","26719528","7.5624","7.73495","3.8219","103","72213","thing","Robinson Crusoe: Adventures on the Cursed Island","1","4","120","120","60","2013","1,2,3,4","1,2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Z-Man Games","English","2013","English second edition"
"RoboRally","18","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","35647264","6.88607","7.05152","2.4285","615","27906","thing","RoboRally","2","8","120","120","45","2010","3,4,5,6,7,8","5,6","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Avalon Hill","English","2010","Avalon Hill edition 2010"
"Roll for the Galaxy","132531","0","0","0","1","0","0","0","0","0","0","0","2","","","","","","30241458","7.42463","7.58096","2.7819","156","39586","thing","Roll for the Galaxy","2","5","45","45","45","2014","2,3,4,5","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Rio Grande Games","English","2014","English edition, first printing"
"The Rose King","201","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","36450524","6.32379","6.81415","1.9375","1677","6246","thing","The Rose King","2","2","30","30","30","2016","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","KOSMOS","English","2016","English edition"
"Sagrada","199561","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","54372265","7.32973","7.47311","1.9181","212","72657","thing","Sagrada","1","4","45","45","30","2017","1,2,3,4","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Sagrada: 5-6 Player Expansion","244262","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","54372275","6.78588","7.69316","2.1176","0","16018","thing","Sagrada: 5-6 Player Expansion","5","6","40","40","20","2018","2,3,4,5,6","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Samurai","3","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","31071975","7.22493","7.47576","2.4423","274","17010","thing","Samurai","2","4","60","60","30","2015","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Fantasy Flight Games","English","2015","Fantasy Flight English edition"
"Samurai Spirit","158900","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","36450588","6.23907","6.5865","2.1327","1945","8419","thing","Samurai Spirit","1","7","45","45","20","2014","1,2,3,4,5,6,7","1","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Funforge","English","2014","English edition"
"Santiago","8125","7.5","1","0","1","0","0","0","0","0","0","0","1","","","","","","18593223","6.68492","7.1659","2.4775","898","5109","thing","Santiago","3","5","75","75","75","2003","4,5","5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","AMIGO; Z-Man Games","English","2003","Amigo/Z-Man English edition"
"Santorini","194655","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","37548817","7.21265","7.35132","1.7263","283","63042","thing","Santorini","2","4","20","20","20","2016","2,3","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Roxley","English","2016","Roxley English Kickstarter edition"
"Santorini: Golden Fleece","216033","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","39723227","6.34952","7.68594","1.9167","0","8533","thing","Santorini: Golden Fleece","2","4","20","0","20","2017","2,4","2","6+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Roxley","English","2017","English-only edition"
"Sapiens","169649","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","30909078","5.75693","6.29627","2.6452","5035","1527","thing","Sapiens","2","4","45","45","45","2015","2,3,4","2,3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Catch Up Games; IELLO","English","2015","English edition"
"Schotten Totten","372","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","29686331","7.05944","7.35957","1.6869","421","21942","thing","Schotten Totten","2","2","20","20","20","2016","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","IELLO","English","2016","IELLO English edition 2016"
"Scoville","145659","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","37123535","6.64802","7.11764","2.7809","970","7744","thing","Scoville","2","6","90","90","60","2014","2,3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Tasty Minstrel Games","English","2014","English edition, first printing"
"Sea of Clouds","189052","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","36450490","6.08369","6.63752","1.7241","2588","4751","thing","Sea of Clouds","2","4","45","45","45","2016","2,3,4","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","IELLO","English","2016","English edition"
"Seasons","108745","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","30241553","7.16284","7.34332","2.7817","322","30679","thing","Seasons","2","4","60","60","60","2014","2,3","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Libellud","English","2014","English edition 2014-1"
"Sentient","223855","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","47346959","6.42906","7.18893","2.2083","1411","3326","thing","Sentient","2","4","60","60","30","2017","2,3,4","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Renegade Game Studios","English","2017","English edition"
"Shadows over Camelot","15062","0","0","0","1","0","0","0","0","0","0","0","2","","","","","","28632958","6.93345","7.0991","2.567","548","35088","thing","Shadows over Camelot","3","7","90","90","60","2012","4,5,6,7","5,6,7","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Days of Wonder","English","2012","English edition 2012"
"Sheriff of Nottingham","157969","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","27102470","6.92576","7.05959","1.6606","562","55054","thing","Sheriff of Nottingham","3","5","60","60","60","2014","3,4,5","5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Arcane Wonders","English","2014","English edition 2014"
"Skip-Bo","1269","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","54511590","5.50911","5.61359","1.1979","20987","23743","thing","Skip-Bo","2","6","20","20","20","2012","2,3,4,5,6","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Mattel, Inc.","English","2012","Mattel English edition 2012"
"Small World","40692","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","18957251","7.09801","7.20099","2.3477","379","100098","thing","Small World","2","5","80","80","40","2009","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Days of Wonder","English","2009","English first edition"
"Space Alert","38453","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","35096350","7.13247","7.38778","2.9695","344","23507","thing","Space Alert","1","5","30","30","30","2009","3,4,5","4,5","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Czech Games Edition; Rio Grande Games","English","2009","CGE/Rio Grande English edition 2009"
"Space Cadets: Away Missions","124827","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","35800710","6.02115","7.33799","2.6136","2887","2197","thing","Space Cadets: Away Missions","1","6","120","120","60","2015","1,2,3,4,5,6","2,3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Stronghold Games","English","2015","English edition"
"Spirit Island","162886","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","58931950","8.14325","8.33982","4.0724","10","85479","thing","Spirit Island","1","4","120","120","90","2017","1,2,3,4","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Spirits of the Forest","235375","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50480503","6.21001","6.76944","1.3735","2061","6819","thing","Spirits of the Forest","1","4","20","20","20","2018","1,2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","ThunderGryph Games","English; French; German","2018","Multilingual retail edition"
"Splendor","148228","8.5","2","0","1","0","0","0","0","0","0","0","3","","","","","","26570155","7.2937","7.41858","1.7798","234","126362","thing","Splendor","2","4","30","30","30","2014","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Space Cowboys","English","2014","English second edition"
"Spot it! Halloween","63268","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","38158783","6.37767","6.54477","1.0401","1535","44207","thing","Spot it!","2","8","15","15","15","2012","2,3,4,5,6,7","4,5","4+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Blue Orange Games","English","2012","English edition 2012"
"Spring Meadow","253684","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","60306300","6.17855","7.04269","1.7857","2174","3419","thing","Spring Meadow","1","4","60","60","15","2018","1,2,3,4","2,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Star Realms","147020","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","29722345","7.40895","7.557","1.9206","166","68136","thing","Star Realms","2","2","20","20","20","2014","2","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Wise Wizard Games","English","2014","English second edition"
"Star Realms: Gambit Set","158957","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","29722360","6.34815","7.22158","1.8966","0","9828","thing","Star Realms: Gambit Set","1","6","20","20","20","2013","1,2,3,4","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","Wise Wizard Games","English","2013","English first edition"
"Star Trek: Catan","117985","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","39300788","6.37645","6.98316","2.3459","1536","10037","thing","Star Trek: Catan","3","4","75","75","75","2012","3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Mayfair Games","English","2012","English edition"
"Star Wars: Armada","163745","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","37123650","7.0564","7.81769","3.1572","424","11135","thing","Star Wars: Armada","2","2","120","120","120","2015","2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Fantasy Flight Games","English","2015","English edition"
"Star Wars: Imperial Assault","164153","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","29580290","7.66364","7.95948","3.3029","75","43496","thing","Star Wars: Imperial Assault","2","5","120","120","60","2014","2,3,4,5","2,5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Fantasy Flight Games","English","2014","English edition"
"Star Wars: Imperial Assault – Heart of the Empire","226839","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50135547","6.13807","8.49045","3.1667","0","6487","thing","Star Wars: Imperial Assault – Heart of the Empire","2","5","90","90","60","2017","1,2,3,4,5","2,5","","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","Fantasy Flight Games","English","2017","English edition"
"Star Wars: Imperial Assault – Jabba's Realm","205900","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50135554","6.43846","8.50807","3.1667","0","8930","thing","Star Wars: Imperial Assault – Jabba's Realm","2","5","0","0","0","2016","1,2,3,4,5","2,5","10+","","","","","","","expansion","","","","","","","","","","","","Fantasy Flight Games","English","2016","English edition"
"Star Wars: Imperial Assault – Legends of the Alliance","241827","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50135585","6.20841","8.37226","3.25","0","3128","thing","Star Wars: Imperial Assault – Legends of the Alliance","1","4","120","120","60","2017","1,2,3,4","1","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","Fantasy Flight Games","English","2017","English edition"
"Star Wars: Imperial Assault – Return to Hoth","181621","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50135621","6.60813","8.40665","3.0588","0","10726","thing","Star Wars: Imperial Assault – Return to Hoth","2","5","120","120","90","2015","2,3,4,5","5","","","","","","","","expansion","","","","","","","","","","","","Fantasy Flight Games","English","2015","English first edition"
"Star Wars: Imperial Assault – The Bespin Gambit","194897","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50135606","6.2442","8.25595","3.25","0","7809","thing","Star Wars: Imperial Assault – The Bespin Gambit","2","5","120","120","60","2016","2,3,5","3,5","12+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","Fantasy Flight Games","English","2016","English edition"
"Star Wars: Imperial Assault – Twin Shadows","175211","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50135531","6.55393","8.19531","3.2857","0","11206","thing","Star Wars: Imperial Assault – Twin Shadows","2","5","120","120","60","2015","2,3,5","5","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","Fantasy Flight Games","English","2015","English edition"
"Star Wars: Rebellion","187645","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","56358552","8.16889","8.41751","3.7414","9","53265","thing","Star Wars: Rebellion","2","4","240","240","180","2016","2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Fantasy Flight Games","English","2016","English edition"
"Steam Time","180592","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","35647397","6.19991","7.0483","2.9254","2096","3315","thing","Steam Time","2","4","90","90","90","2015","2,3,4","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","KOSMOS","English","2015","English edition"
"Steam Works","143176","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","31982501","5.95609","6.78411","3.1587","3264","2558","thing","Steam Works","2","5","120","120","90","2015","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Tasty Minstrel Games","English","2015","English edition"
"Steampunk Rally","162007","7","0","0","1","0","0","0","0","0","0","0","1","","","","","","31262692","6.73146","7.15223","2.6199","824","10036","thing","Steampunk Rally","2","8","60","60","45","2015","2,3,4,5,6","3,4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Roxley","English","2015","English first edition"
"Stockpile","161614","8.25","0","0","1","0","0","0","0","0","0","0","3","","","","","","38158796","6.97787","7.43915","2.1162","493","7874","thing","Stockpile","2","5","45","45","45","2015","3,4,5","4,5","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Nauvoo Games","English","2015","English second edition"
"Stone Age","34635","8.5","1","0","1","0","0","0","0","0","0","0","3","","","","","","28632488","7.3928","7.51982","2.4603","177","59534","thing","Stone Age","2","4","90","90","60","2013","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Z-Man Games","English","2013","English third edition"
"Stone Age: The Expansion","107576","0","0","0","1","0","0","0","0","0","0","0","2","","","","","","29390346","6.59112","7.37547","2.5315","0","8999","thing","Stone Age: The Expansion","2","5","90","90","60","2015","2,3,4,5","5","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Z-Man Games","English","2015","English second edition"
"Suburbia","123260","8","1","4","1","0","0","0","0","0","0","0","3","","","","","","28632479","7.29716","7.46936","2.758","231","30261","thing","Suburbia","1","4","90","90","60","2012","1,2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Bézier Games; Lookout Games","English","2012","English first edition"
"Super Motherload","162286","8.75","0","0","1","0","0","0","0","0","0","0","3","","","","","","34826607","6.68674","7.33674","2.2727","894","5355","thing","Super Motherload","2","4","75","75","60","2015","2,3","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Roxley; XGen Studios","English","2015","English edition, second printing"
"Survive: Escape from Atlantis!","2653","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","28632870","7.12306","7.31483","1.6936","352","40105","thing","Survive: Escape from Atlantis!","2","4","60","60","45","2012","3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Stronghold Games","English","2012","Stronghold English 30th anniversary edition 2012"
"Sushi Go Party!","192291","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","36450472","7.23284","7.38556","1.3078","269","68362","thing","Sushi Go Party!","2","8","20","20","20","2016","2,3,4,5,6,7,8","4,5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Gamewright","English","2016","English edition"
"Takenoko","70919","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","29390294","7.07064","7.20614","1.9753","407","73676","thing","Takenoko","2","4","45","45","45","2012","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Asmodee; Bombyx; Matagot","English","2012","English second edition"
"Takenoko: Chibis","174095","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","29141341","6.79388","7.52326","1.8824","0","17554","thing","Takenoko: Chibis","2","4","45","0","45","2015","2,3,4","3,4","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Bombyx; Matagot","English","2015","English first edition, first printing"
"Tales of the Arabian Nights","34119","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","37123662","6.86524","7.1639","2.1476","642","18275","thing","Tales of the Arabian Nights","2","6","120","120","120","2012","2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Z-Man Games","English","2012","English edition 2012"
"Tally Ho!","908","6.5","0","0","1","0","0","0","0","0","0","0","3","","","","","","36450534","5.87364","6.16161","1.4809","3845","4678","thing","Tally Ho!","2","2","30","30","30","2015","2","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","KOSMOS","English","2015","English edition 2015"
"Taluva Deluxe","188076","8.5","3","0","1","0","0","0","0","0","0","0","1","","","","","","32701097","5.8574","7.63964","2.375","0","789","thing","Taluva Deluxe","2","4","45","45","45","2015","2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Ferti","English; French; German","2015","Ferti standard edition"
"Taluva: Deluxe Game Board","188079","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","32701134","0","8.04545","0","0","118","thing","Taluva: Deluxe Game Board","2","4","45","45","45","2015","","","","","","","","","","expansion","","","","","","","","","","","","Ferti","English; French; German","2015","English/French/German edition"
"Taluva: The 5th Player Expansion","188081","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","32701136","0","7.85714","0","0","130","thing","Taluva: The 5th Player Expansion","2","5","45","45","45","2015","","","","","","","","","","expansion","","","","","","","","","","","","Ferti","English; French; German","2015","English/French/German edition"
"Targi","118048","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","28699905","7.41766","7.60393","2.3402","159","40555","thing","Targi","2","2","60","60","60","2013","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Z-Man Games","English","2013","English first edition"
"Tash-Kalar: Arena of Legends","146278","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","34191252","6.74426","7.15557","2.8431","803","9251","thing","Tash-Kalar: Arena of Legends","2","4","30","30","30","2014","2,3,4","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Czech Games Edition","English","2014","English second edition"
"Tash-Kalar: Arena of Legends – Everfrost","165524","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","34255244","6.05098","7.83213","3","0","3330","thing","Tash-Kalar: Arena of Legends – Everfrost","2","4","60","60","60","2014","2,3,4","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","Czech Games Edition","English","2014","English edition"
"Tash-Kalar: Arena of Legends – Nethervoid","180484","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","34255241","5.92591","8.01516","2.8333","0","2568","thing","Tash-Kalar: Arena of Legends – Nethervoid","2","4","40","40","40","2015","2,3,4","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","Czech Games Edition","English","2015","English edition"
"Tem-Purr-A","95386","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","34255272","5.65346","6.03791","1.1786","6919","2629","thing","Tem-Purr-A","3","10","15","15","15","2016","4,5,6,7,8","5,6,7,8","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","IELLO","English","2016","English edition"
"Terra","153507","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","38960899","6.16684","6.79894","1.4925","2219","3343","thing","Terra","2","6","45","45","45","2015","2,3,4,5,6","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Bézier Games","English","2015","English edition"
"Terra Mystica","120677","9.5","0","0","1","0","0","0","0","0","0","0","3","","","","","","27102479","7.87925","8.0474","3.974","31","53327","thing","Terra Mystica","2","5","150","150","60","2013","2,3,4,5","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Filosofia Éditions; Z-Man Games","English; French","2013","English/French first edition"
"Terra Mystica: Fire & Ice","161317","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","27102616","7.42032","8.40526","3.9533","0","13601","thing","Terra Mystica: Fire & Ice","2","5","100","100","100","2014","2,3,4,5","4","12+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Filosofia Éditions; Z-Man Games","English; French","2014","English/French first edition"
"Terraforming Mars","167791","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","49510740","8.20357","8.35147","3.2657","7","146323","thing","Terraforming Mars","1","5","120","120","120","2016","1,2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Terror in Meeple City","97903","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","38960912","6.51248","6.8253","1.4798","1225","11866","thing","Terror in Meeple City","2","4","45","45","45","2014","2,3,4","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Repos Production","English","2014","English second edition"
"Thebes","30869","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","31262515","6.81596","7.12448","2.1562","696","12165","thing","Thebes","2","4","60","60","60","2012","2,3,4","3,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Queen Games","Dutch; English; French; German; Spanish","2012","Queen multilingual edition 2012"
"Thebes: The Tomb Raiders","114387","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","31729676","5.90764","6.86156","2.0196","3611","1763","thing","Thebes: The Tomb Raiders","2","4","30","30","30","2013","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Queen Games","Dutch; English; French","2013","Multilingual first edition"
"Through the Ages: A Story of Civilization","25613","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","28632283","7.5761","7.83179","4.1764","96","18287","thing","Through the Ages: A Story of Civilization","2","4","120","120","120","2014","2,3,4","3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Eagle-Gryphon Games","English","2014","English third edition, second printing"
"Tichu","215","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","30241524","7.28655","7.5751","2.3395","239","25928","thing","Tichu","4","4","60","60","60","2007","4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Rio Grande Games","English","2007","Rio Grande edition 2007 with two sets of special cards"
"Ticket to Ride","9209","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","28632573","7.27001","7.39044","1.8238","248","137823","thing","Ticket to Ride","2","5","60","60","30","2007","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Days of Wonder","English","2007","English edition 2007 with ""Over 2 million games sold"""
"Tides of Time","176229","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","29688923","6.33286","6.58817","1.5526","1655","11746","thing","Tides of Time","2","2","20","20","20","2015","2","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Portal Games","English","2015","English first edition"
"Tiffin","193029","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","36450540","5.50957","5.81294","2","20864","303","thing","Tiffin","2","4","60","60","30","2016","3,4","3","10+","","","","","","","standalone","","","","","","","","","","","","Rio Grande Games","English","2016","English edition"
"Tikal","54","8.5","0","0","1","0","0","0","0","0","0","0","3","","","","","","31242627","7.11853","7.32159","2.7777","358","28091","thing","Tikal","2","4","90","90","90","2005","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Rio Grande Games","English; French; German","2005","Rio Grande English/French/German edition"
"Tiny Epic Galaxies","163967","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","48510134","7.11061","7.32951","2.1479","366","39622","thing","Tiny Epic Galaxies","1","5","45","45","30","2015","1,2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Tiny Epic Kingdoms","148951","0","1","0","1","0","0","0","0","0","0","0","1","","","","","","26685696","6.28301","6.54326","2.0918","1803","18578","thing","Tiny Epic Kingdoms","2","5","45","45","30","2014","2,3,4,5","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Tournament at Camelot","216632","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","56358510","6.21713","7.12791","2.3667","2030","3585","thing","Tournament at Camelot","3","6","45","45","45","2017","3,4,5,6","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","WizKids (I)","English","2017","English edition"
